"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Fullstack Developer (.Net + react.js)","PT Karisma Zona Kreatifku","Jakarta Selatan, Jakarta Raya","Rp 10,000,000 – Rp 12,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Sales & Marketing","PT Bimaruna Jaya","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Microsoft Dynamics 365 CE Functional Consultant","PT SAGLOBAL INDONESIA OPERATIONS","Jakarta Barat, Jakarta Raya","","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assistant to the CEO","PT Crypto Canary Network","Tebet, Jakarta Raya","Rp 6,500,000 – Rp 8,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Back End Developer","PT Star Cosmos","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Project Manager","PT Ako Media Asia","Jakarta Barat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Crewing Training Admin","SOECHI GROUP","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Project Secretary - Mandarin Speaker","PT Harrisma Informatika Jaya","Jakarta Barat, Jakarta Raya","Rp 14,000,000 – Rp 20,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staf Admin Gudang","PT.SUNGAI PANJANG ADAMAS","Cikarang Utara, Jawa Barat","Rp 3.500.000 – Rp 4.500.000 per month","subClassification: Entri Data & Pengolahan KataEntri Data & Pengolahan Kataclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Programmer","PT Microvac Indonesia","Jakarta Timur, Jakarta Raya","Rp 5,500,000 – Rp 8,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Backend Developer (Golang/Node.Js)","PT Kamoro Maxima Integra","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Back End Developer","PT Akseleran Keuangan Inklusif Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Software Quality Assurance","PT Teknologi Pamadya Analitika","Karawaci, Banten","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Front-End Developer (Vue JS)","pt. digital sarana legoas","Jakarta Barat, Jakarta Raya","Rp 7.500.000 – Rp 10.000.000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Information Technology Supervisor (Mandarin Speaker)","PT Global Bintang Timur Ekspress","Jakarta Utara, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Mandarin Speaking","PT Global Jet Express","Jakarta Utara, Jakarta Raya","","subClassification: Manajemen PerkantoranManajemen Perkantoranclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff WTP Engineer","PT Arita Prima Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"UI/UX Designer","ATech Solution","Jakarta Utara, Jakarta Raya","","subClassification: Pengembangan & Produksi WebPengembangan & Produksi Webclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Pre-sales Engineer for AV Multimedia","PT Technet Vision Indonesia","Jakarta Timur, Jakarta Raya","IDR 5,000,000 - 7,000,000","subClassification: Teknik – Perangkat KerasTeknik – Perangkat Kerasclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
